"position_id","inst_id","title","responsibilities","start_date","end_date"
"1","2","Applications Engineering Intern","Developed in embedded systems on Renesas' evaluation board","2024-03-06","2024-08-16"
"2","1","Action Lab Helper","Helping set up a virtual human object to interact with items on the floor","2025-02-01", "present"
