"inst_id","type","name","department","address","city","state","zip"
"1","Academia","Michigan State University","Computer Science","S Shaw Lane","East Lansing","Michigan","48823"
"2","Semiconductor","Renesas Electronics Corp","High power SOC","W 12 Mile Road","Farmington Hills","Michigan","48331"
